Label,Type,Position x,Position y,Orientation,"Angle in counter-clockwise, 0 = +x; for lenses with flat or coating side, angle refers to flat or coating side; for mirrors, angle refers to reflection side; for PBS, angle 0 is incident from +x and reflected in +y; for waveplates, angle refers to side with marked numbers",Secondary Orientation/Angle,"Second orientation is concerned with rotation in the xz or yz plane, with angle still positive in counter-clockwise direction. Angles for waveplates is the rotation of the mount as denoted by the angle mark at the top of the the waveplate",Size,Wavelength(s),Type,Part Number,Price
O-1,empty,,,,,,,,,,,
O-2,mirror,26,2,135,,,,,,,,
O-3,mirror,22,4,135,,,,,,,,
O-4,mirror,8,16,90,,,,,,,,
O-5,dump,13.3,45.3,-45,,,,,,,,
O-6,mirror,8,14,90,,,,,,,,
O-7,mirror,44.5,26,45,,,,,BFL,,,
O-8,empty,,,,,,,,,,,
O-9,mirror,36,26,-105,,,,,,,,
O-10,PD,40,11,-45,,,,,,,,
O-11,mirror,47,26,135,,,,,BFL,,,
O-12,Cs H Imaging,4,20,-45,,,,,,,,
O-13,mirror,19.6,7,135,,,,,"Li Repump, Li MOT",,,
O-14,empty,,,,,,,,,,,
O-15,Li Repump,12,12,45,,,,,Li Repump,,,
O-16,Li MOT,9.5,11.5,45,,,,,,,,
O-17,Cs MOT,7,11,45,,,,,,,,
O-18,waveplate,5.5,16.5,-45,,25,,,Cs H Imaging,1/2 ?,,
O-19,large mirror,26,16,-135,,,,,Li Zeeman,,,
O-20,lens,26,12,-90,,,,,Li Zeeman,,,
O-21,waveplate,22,2,0,,232,,,Li Zeeman,,,
O-22,lens,26,4.5,90,,,,,Li Zeeman,,,
O-23,PBS,23,2,0,,,,,Li Zeeman,,,
O-24,iris,26,3,90,,,,,Li Zeeman,,,
O-25,Li Zeeman,21,2,0,,,,,,,,
O-26,lens,47,49,-90,,,,,BFL,,,
O-27,Li EOM,4,14,45,,,,,,,,
O-28,waveplate,13,13,45,,98,,,Li Repump,1/2?,,
O-29,PBS,11.5,15.5,45,,-45,,,Cs MOT,,,
O-30,mirror,8.5,21.5,-90,,,,,Cs H Imaging,,,
O-31,lens tube,47,51,90,,,,,BFL,,,
O-32,waveplate,5,15,45,,118,,,Li EOM,,,
O-33,empty,,,,,,,,,,,
O-34,mirror,10.95,23.05,0,,,,,"Li MOT, Li Repump, Li EOM, Li H Imaging",,,
O-35,large mirror,24,13.5,135,,,,,Cs Zeeman,,,
O-36,copper plate,47,52,90,,,,,BFL,,,
O-37,Li H Imaging,4.5,17.5,-45,,,,,,,,
O-38,quadrant mirror,7.7,17.7,-90,,,,,Li EOM,,,
O-39,empty,,,,,,,,,,,
O-40,PBS,14,16,-45,,,,,"Li Repump, Li MOT",,,
O-41,dump,14.7,46.7,-45,,,,,,,,
O-42,empty,,,,,,,,,,,
O-43,lens,22,12,-90,,,,,Cs Zeeman,,,
O-44,waveplate,18,4,0,,270,,,Cs Zeeman,,,
O-45,iris,22,6,90,,,,,Cs Zeeman,,,
O-46,lens,22,7,90,,,,,Cs Zeeman,,,
O-47,PBS,19,4,-90,,,,,Cs Zeeman,,,
O-48,Cs Zeeman,17,4,0,,,,,,,,
O-49,mirror,47,53,90,,45 upward tilt,,,BFL,,,
O-50,quadrant mirror,9.9,15.63,90,,,,,Li EOM,,,
O-51,PBS,10.5,16.5,-45,,,,,"Li EOM, Li H Imaging",,,
O-52,empty,,,,,,,,,,,
O-53,waveplate,14,24,-45,,139,,,"Cs H Imaging, Cs MOT",,,
O-54,waveplate,14.5,23.5,-45,,126,,,"Cs H Imaging, Cs MOT",?,,
O-55.1,waveplate,11.8,22.2,-45,,162,,,"Li MOT, Li Repump",,,
O-55.2,waveplate,12.4,21.6,-45,,112,,,"Li MOT, Li Repump",,,
O-56,waveplate,10.9,14.9,45,,49,,,Cs MOT,1/2 ?,,
O-57,empty,,,,,,,,,,,
O-58,dichroic mirror,24,16,45,,,,,"Cs Zeeman, Li Zeeman",,,
O-59,waveplate,6.5,17.5,-45,,182,,,"Li EOM, Li H Imaging",,,
O-60,dichroic mirror,13,25,0,,,,,"Cs H Imaging, Li MOT, Li Repump, Cs MOT, Li EOM, Li H Imaging",,,
O-61,lens,15,27,45,,,,,"Cs H Imaging, Li MOT, Li Repump, Cs MOT, Li EOM, Li H Imaging",,,
O-62,iris,15.4,22.6,-45,,,,,"Cs H Imaging, Cs MOT",,,
O-63,mirror,15,15,180,,,,,Li Repump,,,
O-64.1,PBS,13,21,-45,,,,,"Li MOT, Li Repump",,,
O-64.2,waveplate,13.6,21.6,45,,200,,,"Li MOT, Li Repump",,,
O-64.3,waveplate,14.2,22.2,45,,310,,,"Li MOT, Li Repump",,,
O-65,waveplate,17.4,20.6,-45,,182,,,"Li MOT, Li Repump",,,
O-66,empty,,,,,,,,,,,
O-67,large mirror,22,13.5,-45,,,,,Li Zeeman,,,
O-68,quadrant mirror,34.8,23.8,95,,,,,Cs (H) Optical Pump,,,
O-69,lens,15,45,-45,,,,,Li Repump,,,
O-70,mirror,14,46,-45,,,,,Li Repump,,,
O-71,PD,45,55,180,,,,,,,,
O-72.1,empty,,,,,,,,,,,
O-72.2,empty,,,,,,,,,,,
O-73,lens tube,47,59,90,9.5 in,,,,BFL,,,
O-74,PBS,1,27,0,,,,,OTOP,,,
O-75,PD,4.5,27,180,,,,,OTOP,,,
O-76.1,waveplate,17.2,23.2,45,,60,,,Cs H Imaging,,,
O-76.2,waveplate,16.6,22.6,45,,7,,,Cs H Imaging,,,
O-76.3,PBS,16,22,-45,,,,,"Cs H Imaging, Cs MOT",,,
O-77,waveplate,14.4,19.6,-45,,342,,,Cs MOT,1/2 ?,,
O-78.1,waveplate,17.4,19.4,45,,24,,,"Li MOT, Li Repump",1/2 ?,,
O-78.2,PBS,18,20,-45,,,,,"Li MOT, Li Repump",,,
O-78.3,waveplate,18.6,20.6,45,,14,,,"Li MOT, Li Repump",1/2 ?,,
O-79.1,PBS,15,19,-45,,,,,Cs MOT,,,
O-79.2,waveplate,15.6,19.6,45,,337,,,Cs MOT,,,
O-80,50-50 beam splitter,1,28,45,,,,,OTOP,,,
O-81,mirror,3,28,135,,,,,OTOP,,,
O-82,mirror,9.1,20.1,-90,,,,,"Li EOM, Li H Imaging",,,
O-83,iris,17.8,23.8,45,,,,,Cs H Imaging,,,
O-84,small PD,16.3,8.7,45,,,,,,,,
O-85,mirror,1,30,-45,,,,,OTOP,,,
O-86,mirror,5,30,135,,,,,OTOP,,,
O-87,mirror,29,15,90,,,,,Cs H Imaging,,,
O-88,iris,16,24,45,,,,,Li Repump,,,
O-89,camera,3,32,-90,,,,,OTOP,,,
O-90,mirror,17.3,9.7,180,,,,,,,,
O-91,dichroic mirror,19,25,90,,,,,"Cs H Imaging, Li Repump",,,
O-92,lens,5,33,90,,,,,OTOP,,,
O-93,mirror,18.05,26.05,90,,,,,Cs H Imaging,,,
O-94.1,chamber port,24,24,-90,,,,,,,,
O-94.2,chamber port,21,33,-135,,,,,"Cs H Imaging, Li Repump, Li EOM, Li H Imaging, Cs V Optical Pump, RSC",,,
O-94.3,chamber port,20,36,180,,,,,"Dual Color, BFL, OTOP",,,
O-94.4,chamber port,21,39,135,,,,,"Cs H Imaging, Li Repump, Cs V Optical Pump, RSC",,,
O-94.5,chamber port,28,36,0,,,,,"Dual Color, BFL, OTOP",,,
O-94.6,chamber port,27,39,45,,,,,"Li Repump, Cs V Optical Pump, RSC",,,
O-94.7,chamber port,34,26,-45,,,,,"Li Repump, Cs (H) Optical Pump",,,
O-94.8,chamber port,35,28,0,,,,,,,,
O-94.9,chamber port,34,30,45,,,,,,,,
O-95,mirror,26,22,-90,,,,,,,,
O-96,dump ,1.5,36,0,,,,,OTOP,,,
O-97,mirror,5,36.1,-45,,,,,OTOP,,,
O-98,mirror,19.5,23.5,-112.5,,,,,Cs MOT,,,
O-99,mirror,22.3,16.3,180,,,,,,,,
O-100,empty,,,,,,,,,,,
O-101,dichroic mirror,2.5,46,-30,,,,,,,,
O-102,small mirror,0,46,-45,,,,,,,,
O-103,quadrant detector sensor head,12,40.5,160,,,,,,,,
O-104,mirror,7.9,22.9,-90,,,,,,,,
O-105,mirror,18.8,9.2,180,,,,,,,,
O-106,lens,25.7,18.3,135,,,,,"Cs H Imaging, Li Repump",,,
O-107,mirror,37,23,180,,,,,"Cs H Imaging, Li Repump",,,
O-108,empty,,,,,,,,,,,
O-109,mirror,14,8,0,,,,,,,,
O-110,RSC laser,14,10,45,,,,,,,,
O-111,PBS,17,13,45,,,,,RSC,,,
O-112,waveplate,17.6,13.6,45,,118,,,RSC,,,
O-113,iris,21.5,19.5,135,,,,,"Cs V Optical Pump, RSC",,,
O-114.1,PBS,21.3,17.3,45,,,,,"Cs V Optical Pump, RSC",,,
O-114.2,waveplate,21.9,17.9,45,,310,,,"Cs V Optical Pump, RSC",,,
O-115,waveplate,25.5,21.5,45,,240,,,"Cs V Optical Pump, RSC",,,
O-116,Cs V Optical Pump,11.5,9.5,45,,,,,,,,
O-117,iris,14,12,45,,,,,"Cs V Optical Pump, RSC",,,
O-118,waveplate,15.4,13.4,45,,72,,,"Cs V Optical Pump, RSC",,,
O-119,quadrant mirror,20.3,18.3,-90,,,,,"Cs V Optical Pump, RSC",,,
O-120,quadrant mirror,37,24.5,180,,,,,,,,
O-121,mirror,15.5,25.5,5,,,,,"Cs V Optical Pump, RSC",,,
O-122,waveplate,44.5,30,-90,,46,,,BFL,,,
O-123,waveplate,36,20.5,90,,102,,,Cs (H) Optical Pump,,,
O-124,waveplate,36,18.5,90,,269???,,,Cs (H) Optical Pump,,,
O-125,empty,,,,,,,,,,,
O-126,PBS,36,19.5,90,,,,,Cs (H) Optical Pump,,,
O-127,Cs H Optical Pump,36,17,90,,,,,,,,
O-128,dump,41,30.5,90,,,,,OTOP,,,
O-129,dichroic mirror,43,55,-135,,,,,Dual Color,,,
O-130,AOM,47,66,90,,,,,BFL,,,
O-131,empty,,,,,,,,,,,
O-132,Big Reg Chamber,,8,,,,,,,,,
O-133,lens,47,68.5,90,,,,,BFL,,,
O-134,flat lens-like PBS,44.5,35.4,-135,,,,,BFL,,,
O-135,PBS,41,36,90,,,,,"Dual Color, OTOP",,,
O-136,lens,38,36,180,,,,,"Dual Color, OTOP",,,
O-137,3-hole tube,32,36,0,,,,,"Dual Color, BFL, OTOP",,,
O-138,lens tube,47,73.75,90,8 in,,,,BFL,,,
O-139,mirror,44.5,36.6,-135,,,,,BFL,,,
O-140,convex rectangular lens,41,43,90,,,,,OTOP,,,
O-141,lens,47,78,90,,,,,BFL,,,
O-142,lens,43,40.5,90,,,,,Dual Color,,,
O-143,lens tube,45,43,90,2 in,,,,,,,
O-144,lens,43,46,90,,,,,Dual Color,,,
O-145,lens,43,47,90,,,,,Dual Color,,,
O-146,convex rectangular lens,41,46,-90,,,,,OTOP,,,
O-147,small breadboard,,8,,,,,,,,,
O-148,Dual Color Laser,36,55,0,,,,,,,,
O-149,mirror,30,18,90,,,,,,,,
O-150,BFL laser,47,79,-90,,,,,,,,
O-151,mirror,45.5,72,135,,,,,OTOP,,,
O-152,double waveplate,43,72,0,,"270, 140",,,OTOP,,,
O-153,AOM,41.5,72,180,,,,,OTOP,,,
O-154,lens,40.5,72,0,,,,,OTOP,,,
O-155,lens,38,70,90,,,,,OTOP,,,
O-156,mirror,37.5,72,45,,,,,OTOP,,,
O-157,dump,37.5,72.1,45,,,,,OTOP,,,
O-158,mirror,35,72,-45,,,,,OTOP,,,
O-159,mirror,38,75,-90,,,,,OTOP,,,
O-160,mirror,36,78,-45,,,,,OTOP,,,
O-161,lens,44.5,74,-90,,,,,OTOP,,,
O-162,telescope lens tube,41.5,76,0,5.5 in,,,,OTOP,,,
O-163,mirror,45.5,76,-135,,,,,OTOP,,,
O-164,mirror,44.5,78,45,,,,,OTOP,,,
O-165,PBS,41,78,90,,,,,OTOP,,,
O-166,waveplate,38,78,0,,298,,,OTOP,1/2 ?,,
O-167,large PBS,36,76,-90,,,,,OTOP,,,
O-184,lens,18.7,30.7,-135,,,,,"Cs H Imaging, Li MOT, Li Repump, Cs MOT, Li EOM, Li H Imaging",,,
O-185,quadrant mirror,19.8,21.8,-112.5,,,,,,,,
O-186,lens,22,22,-45,,,,,"Cs H Imaging, Li Repump",,,
O-187,mount,13,34,60,,,,,,,,
O-188,small mirror,15.4,6.6,157.5,,,,,"Cs V Optical Pump, RSC",,,
O-189,mirror,17,35.4,25,,45 upward tilt,,,BFL,,,
O-190,mirror,17,36.6,-25,,45 upward tilt,,,BFL,,,
O-231,periscope mirror,2,43,0,,45 downward tilt,,,"Cs V Optical Pump, RSC",,,
O-232,lens,14,37.5,-12,,,,,,,,
O-250,periscope mirror,2,7,0,,45 downward tilt towards optics table,,,"Li Repump, Cs MOT",,,
O-251,waveplate & polarizer in front of camera,30,42,-135,,?,,,"Li MOT, Li Repump, Cs MOT, Cs V Optical Pump, RSC",,,
O-255,waveplate,11.6,13.6,45,,193,,,Li MOT,1/2 ?,,
O-257,mirror,13,36,-45,,45 upward tilt,,,"Dual Color, OTOP",,,
O-258,PBS,13,28,90,,90 rotation so reflected is facing upward,,,,,,
O-259,lens,12,28,180,,,,,,,,
O-260,dump ,10,28,0,,,,,,,,
O-261,dump ,11,26,90,,,,,,,,
O-262,small dichroic mirror,11,28,-135,,,,,,,,
O-263,PD,11,31,-90,,,,,,,,
O-265,water-cooled beam dump,47,53,0,12 in. above breadboard,90 downward tilt,,,BFL,,,
O-266,mirror,43,36,135,,,,,Dual Color,,,
O-267,OTOP laser,32,76,0,,,,,,,,
O-268,dump,44.5,63,90,,,,,OTOP,,,
O-269,mirror,38,65,45,,,,,OTOP,,,
O-270,dump,42,65,180,,,,,OTOP,,,
O-271,lens,35,65.5,-90,,,,,OTOP,,,
O-272,waveplate,35,63,90,,105,,,OTOP,,,
O-273,mirror,35,61,45,,,,,OTOP,,,
O-274,mirror,41,61,-135,,45 upward tilt,,,OTOP,,,
O-277,camera,1.5,36,0,5.5 in. above breadboard,,,,,,,
O-279,camera,10.5,38,-12,,,,,,,,
O-280,post,18,33,,,,,,,,,
O-281,post,19,39,,,,,,,,,
O-282,post,29,39,,,,,,,,,
O-283,post,29,34,,,,,,,,,
O-284,post,32,34,,,,,,,,,
O-285,post,32,41,,,,,,,,,
O-286,post,29,24,,,,,,,,,
O-287,waveplate,29.6,43.3,-130,,180,,,,,,
O-288,mirror,31,45,-130,,,,,,,,
O-294,tall mirror,35.5,59,180,,,,,,,,
O-295,tall waveplate,33,59,0,,,,,,,,
O-296,water-cooled beam dump,17,36,0,6 in. above breadboard,90 downward tilt,,,"Dual Color, OTOP",,,
O-297,water-cooled beam dump,13,28,0,above O-258 PBS,90 downward tilt,,,,,,
O-298,PBS,22.5,18.5,-45,,,,,"Cs V Optical Pump, RSC",,,
O-299,waveplate,20.4,31.5,50,,65/245,,,"Cs V Optical Pump, RSC",,,
O-300,PD,3,36,0,9. in above breadboard,90 downward tilt,,,,,,
O-301,lens,3,36,0,7.5 in. above breadboard,90 downward tilt,,,,,,
O-302,PBS,3,36,0,5.5 in. above breadboard,90 rotation so reflected is facing upward,,,,,,
O-304,beam sampler,10.6,18.6,0,,,,,,,,
O-305,beam sampler,12,18,0,,,,,,,,
O-306,beam sampler,13.4,17.4,0,,,,,,,,
O-307,beam sampler,13.5,13.5,90,,,,,,,,
O-308,mirror,17,16,0,,,,,,,,
O-309,mirror,16.7,17.3,0,,,,,,,,
O-310,PBS,9.5,17.5,-45,,,,,,,,
O-311,waveplate,10.1,18.1,45,,,,,,,,
O-312,waveplate,15.4,21.4,45,,,,,,,,
O-313,small PD,17.8,8.2,45,,,,,,,,
O-314,small PD,8,19,45,,,,,,,,
O-315,small PD,6,21,45,,,,,,,,
O-316,waveplate,15,11,45,,,,,,,,
O-317,PBS,16,14,45,,,,,,,,
O-318,waveplate,16.6,14.6,45,,,,,,,,
O-319,waveplate,12.1,16.1,45,,,,,,,,
O-320,beam sampler,13,15,90,,,,,,,,
O-321,beam sampler,18,16,180,,,,,,,,
O-322,beam sampler,18.5,14.5,180,,,,,,,,
O-323,small PD,18.3,17.3,45,,,,,,,,
O-324,small PD,17.5,18.1,-135,,,,,,,,
O-325,small PD,7,20,45,,,,,,,,
O-326,PBS,12.2,14.2,-45,,,,,,,,
O-327,waveplate,20,4,0,,,,,,,,
O-328,waveplate,24,2,0,,,,,,,,
O-329,waveplate,21,4,0,,,,,,,,
O-330,waveplate,25,2,0,,,,,,,,
O-331,large post,34,49,,,,,,,,,
O-332,large post,29,47,,,,,,,,,
O-333,large post,14,49,,,,,,,,,
O-334,large post,19,47,,,,,,,,,
O-335,large post,34,33,,,,,,,,,
O-336,large post,15,31,,,,,,,,,
O-337,large post,19,30,,,,,,,,,
O-338,large post,29,30,,,,,,,,,
